# discovery_common_relationships.csv;;;;;;
# Référentiel curé des chemins de traversée RÉELLEMENT utilisés (pas l'espace du possible de la taxonomy).;;;;;;
# Source de vérité = connaissance métier; PAS génération auto depuis la taxonomy.;;;;;
#;;;;;;
# Logique de matching attendue côté assistant :;;;;;;
#   1) FILTRE  : keywords (présence d'au moins un mot; fr/en) → quelles lignes sont candidates;;;;;
#   2) DÉCIDE  : from_kind / to_kind → la ligne dont les kinds collent à l'objet résolu et à la cible;;;;;;
#   3) TIE-BREAK : priority (golden > common > occasional);;;;;;
# Le nombre de keywords ne compte JAMAIS — c'est un aimant; pas un score.;;;;;
#;;;;;;
# À COMPLÉTER PAR L'UTILISATEUR : les colonnes from_kind; traverse_spec; to_kind.;;;;
# Garder la vérification taxonomy pour tout chemin ABSENT de ce fichier.;;;;;;
#;;;;;;
section;from_kind;traverse_spec;to_kind;priority;keywords;note
discovery;Host/NetworkDevice/Printer/SNMPDevice/CloudProvider;:::;DiscoveryAccess;occasional;detail,inféré,inferred,élément inféré,donnée brute,detail node,bas niveau;Nœud Detail → éléments inférés (exploration bas niveau, rare)
#;;;;;;
# === ANTI-PATTERNS (lignes de garde; à ne PAS suivre) ===;;;;;
# anti;"vCenter ≠ Host : le vCenter est un SoftwareInstance — ne jamais cibler ""Host vCenter → InferredElement""";;;;;
# anti;vCenter → ESX passe TOUJOURS par Cluster (vCenter→Cluster→Host); jamais en direct;;;;
# anti;Graphe service/architecture : racine = BusinessService puis BusinessApplicationInstance — JAMAIS SoftwareInstance/Host en racine (explosion du graphe à depth 2+);;;;;
# anti;discovery_search_data n'est pas un fallback générique — il a un rôle défini; ne pas l'improviser pour un cas couvert ici;;;;
# anti;Données partielles = problème de scan/permissions, pas une contrainte de design : ne pas concevoir autour;;;;;
# anti;Pour le comptage d'un nombre d'installation d'un produit il suffit de chercher le nombre de Package, ou si vous cherchez les softwares qui tournent sur la machine les SoftwareInstance;;;;;
# anti;Pour connaitre le propri�taire, business owner, ou mainteneur c'est les champs ;;;;;
